town,COUNTY,longitude,latitude,cost_of_living,Housing,Food,Energy,Transport,Education,PD,Population,FC,DUC,EC,CPI,AP,NHUP,IR,RR,SEP,PAD
Crosshaven,Cork,-8.289054633,51.80140965,2.409272875,2.685545152,1.420450859,2.393735582,2.556632785,2.99,1197.8,3263,3.04,0.054716095,16.03,3.2,7.1,4.872340426,2.7,9.85,4.241793121,3.054449195
Doneraile,Cork,-8.586941459,52.2182519,2.77239537,2.809234735,1.420450859,2.515573799,2.681717458,4.435,1598.1,857,3.04,0.461567863,16.03,3.2,7.1,0.617021277,2.7,9.85,3.640797716,1.717484817
Drimoleague,Cork,-9.261361048,51.65968081,3.563678487,2.568299211,1.420450859,2.280415268,2.439227097,9.11,912.1,486,3.04,0.977857092,16.03,3.2,7.1,0.234042553,2.7,9.85,3.28885566,1.150255522
Dromina,Cork,-8.799419725,52.31397144,3.417526297,2.750802967,1.420450859,2.458332531,2.623045127,7.835,1395.4,312,3.04,0.676507825,16.03,3.2,7.1,0,2.7,9.85,3.025,0.707050086
Drommahane,Cork,-8.691369106,52.10450811,2.902722375,3.083846891,1.420450859,2.786761059,2.957553068,4.265,3019.3,947,3.04,0.461932962,16.03,3.2,7.1,0.212765957,2.7,9.85,3.437727445,1.817345991
Dunderrow,Cork,-8.593631729,51.72765301,2.753688111,2.816628289,1.420450859,2.5228224,2.689139004,4.3194,1625.9,213,3.04,0.31696622,16.03,3.2,7.1,0.021276596,2.7,9.85,2.174419397,0.325339064
Dunmanway,Cork,-9.111564056,51.71888549,1.848098156,2.59704891,1.420450859,2.30813936,2.468051649,0.4468,975.2,1964,3.04,0.819759014,16.03,3.2,7.1,1.212765957,2.7,9.85,2.722983855,2.546785387
Durrus,Cork,-9.529108454,51.62139381,2.989336823,2.572036058,1.420450859,2.284226263,2.443170934,6.2268,920.1,381,3.04,1.247967706,16.03,3.2,7.1,0.212765957,2.7,9.85,3.08600209,0.906846273
Farran,Cork,-8.737971755,51.87470783,1.910127054,2.487861467,1.420450859,2.202176557,2.357546386,1.0826,755.7,326,3.04,0.435383236,16.03,3.2,7.1,0.106382979,2.7,9.85,1.939689591,0.750944279
Fermoy,Cork,-8.280320163,52.13880535,2.627430432,2.899403721,1.420450859,2.604226727,2.772230851,3.44084,1969.5,6720,3.04,0.285412154,16.03,3.2,7.1,2.404255319,2.7,9.85,4.212001049,3.33220451
Freemount,Cork,-8.884931303,52.27733353,2.257435032,2.727368599,1.420450859,2.435383746,2.599467955,2.104504,1321.4,257,3.04,0.719390357,16.03,3.2,7.1,0.063829787,2.7,9.85,2.249207455,0.513122983
Glanworth,Cork,-8.357535475,52.18856898,2.459765728,2.78982851,1.420450859,2.496482126,2.662179146,2.929888,1527.8,628,3.04,0.338676598,16.03,3.2,7.1,0.106382979,2.7,9.85,2.677789671,1.406587064
Glengarriff,Cork,-9.551559281,51.74864925,2.089375249,2.272926555,1.420450859,1.997870595,2.140172236,2.615456,455.6,211,3.04,1.252954602,16.03,3.2,7.1,0.063829787,2.7,9.85,1.88115453,0.315905031
Glenville,Cork,-8.422925643,52.04643818,2.600105036,2.866802027,1.420450859,2.57217773,2.739558566,3.401536,1826.6,501,3.04,0.226456951,16.03,3.2,7.1,0.106382979,2.7,9.85,2.820190671,1.180652999
Grenagh,Cork,-8.610347904,52.01215428,2.809126441,2.991703236,1.420450859,2.695515505,2.865062606,4.0729,2439.6,724,3.04,0.345455021,16.03,3.2,7.1,0.170212766,2.7,9.85,3.228214501,1.54883829
Halfway,Cork,-8.572412656,51.80424843,2.172034671,3.115048252,1.420450859,2.817656044,2.9888182,0.5182,3245.2,252,3.04,0.27395682,16.03,3.2,7.1,0.106382979,2.7,9.85,2.252611022,0.493475985
Inchigeelagh,Cork,-9.125635335,51.84281909,3.269137634,2.618364023,1.420450859,2.328994509,2.489678782,7.4882,1025.2,136,3.04,0.822648447,16.03,3.2,7.1,0,2.7,9.85,2.252611022,-0.123298216
Inishannon,Cork,-8.657313635,51.76744841,2.929767057,2.843884864,1.420450859,2.549597154,2.716502408,5.1184,1731.8,1043,3.04,0.364738332,16.03,3.2,7.1,1.170212766,2.7,9.85,4.01589679,1.913903353
Kanturk,Cork,-8.906316577,52.18088811,2.795946747,2.806560017,1.420450859,2.512925478,2.678997379,4.5608,1587.8,2803,3.04,0.685980403,16.03,3.2,7.1,2.425531915,2.7,9.85,4.244643819,2.902492449
Kilbrin,Cork,-8.827245537,52.21292425,1.459536196,2.576048454,1.420450859,2.287724569,2.446857096,-1.4334,928.8,176,3.04,0.635117071,16.03,3.2,7.1,0.042553191,2.7,9.85,2.252611022,0.134530893
Kilbrittain,Cork,-8.68726864,51.67409556,3.010145995,2.675064927,1.420450859,2.38407068,2.546643509,6.0245,1170,238,3.04,0.424364133,16.03,3.2,7.1,0,2.7,9.85,2.252611022,0.436317572
Kildorrery,Cork,-8.428070874,52.24601238,3.359523889,2.839847289,1.420450859,2.545700837,2.712520462,7.2791,1715.9,372,3.04,0.411173569,16.03,3.2,7.1,0.063829787,2.7,9.85,2.901593057,0.882940752
Killavullen,Cork,-8.5173439,52.14566128,2.4445801,2.918293561,1.420450859,2.623004673,2.791351408,2.4698,2058.2,292,3.04,0.361670216,16.03,3.2,7.1,0,2.7,9.85,2.252611022,0.6408007
Killeagh,Cork,-7.99447257,51.94153006,2.24985427,2.98891262,1.420450859,2.692751069,2.862256802,1.2849,2423.9,895,3.04,0.320685872,16.03,3.2,7.1,0.127659574,2.7,9.85,2.59943742,1.760870616
Killumney,Cork,-8.654127918,51.87247259,2.482166749,2.727537865,1.420450859,2.435303484,2.599405536,3.228136,1321.7,1466,3.04,0.351530877,16.03,3.2,7.1,1.042553191,2.7,9.85,3.648182935,2.25433978
Kilworth,Cork,-8.243314805,52.1746712,2.228459599,2.969006191,1.420450859,2.673069561,2.842267384,1.237504,2314.7,1179,3.04,0.325894671,16.03,3.2,7.1,0.212765957,2.7,9.85,2.784943465,2.036468798
Kinsale,Cork,-8.521724603,51.70527192,2.42610035,2.893390268,1.420450859,2.598017918,2.765905263,2.45273744,1941,5991,3.04,0.264614493,16.03,3.2,7.1,7.872340426,2.7,9.85,4.573780462,3.63758616
Knocknagree,Cork,-9.206584889,52.12305807,1.204901375,2.49928787,1.420450859,2.213618132,2.369492413,-2.4783424,776.2,213,3.04,0.942642485,16.03,3.2,7.1,0.085106383,2.7,9.85,2.252611022,0.325339064
Knockraha,Cork,-8.340215023,51.95901364,2.520733465,3.018987827,1.420450859,2.722426869,2.892376492,2.54942528,2598.5,517,3.04,0.111106669,16.03,3.2,7.1,0.765957447,2.7,9.85,3.705369652,1.212089772
Ladysbridge,Cork,-8.043542048,51.89790259,2.50498154,3.03574451,1.420450859,2.739013453,2.909190718,2.42050816,2701,809,3.04,0.263162122,16.03,3.2,7.1,1.829787234,2.7,9.85,4.077831729,1.659845815
Leap,Cork,-9.141543957,51.58239187,1.928105412,2.295332824,1.420450859,2.018531736,2.162518362,1.74369328,480.4,167,3.04,0.881463665,16.03,3.2,7.1,0.127659574,2.7,9.85,2.029126485,0.08204071
Liscarroll,Cork,-8.80356207,52.259442,1.871951213,2.580409152,1.420450859,2.29196388,2.451263692,0.61566848,938.3,245,3.04,0.643921158,16.03,3.2,7.1,0.063829787,2.7,9.85,1.566712033,0.465305108
Lyre,Cork,-8.86016124,52.08188729,3.383541709,2.7636555,1.420450859,2.470903514,2.635948671,7.62675,1437.7,169,3.04,0.601788543,16.03,3.2,7.1,0.021276596,2.7,9.85,2.367909926,0.093945613
Macroom,Cork,-8.967016305,51.90653471,3.496980295,2.881046167,1.420450859,2.586131169,2.75377328,7.8435,1886.9,4096,3.04,0.666000754,16.03,3.2,7.1,4.723404255,2.7,9.85,4.844513902,4.234106505
Mallow,Cork,-8.644260711,52.13445419,2.742168075,2.778859773,1.420450859,2.485306011,2.650723731,4.3755,1487.8,13456,3.04,0.44147355,16.03,3.2,7.1,7.085106383,2.7,9.85,4.663918618,4.762173935
Midleton,Cork,-8.176321633,51.91384349,2.688812277,2.544674155,1.420450859,2.256036698,2.413899672,4.809,861.3,264,3.04,0.140034605,16.03,3.2,7.1,8.29787234,2.7,9.85,4.536175973,3.970291914
Milford,Cork,-8.85981976,52.3411193,3.051557639,2.667436141,1.420450859,2.376790168,2.539111027,6.254,1149.4,1076,3.04,0.739571219,16.03,3.2,7.1,0,2.7,9.85,2.252611022,1.945052639
Millstreet,Cork,-9.061745034,52.05969929,2.459127563,2.594814719,1.420450859,2.306019061,2.465853176,3.5085,970.3,211,3.04,0.785990298,16.03,3.2,7.1,0.446808511,2.7,9.85,3.182148949,0.315905031
Mitchelstown,Cork,-8.269206702,52.26604813,2.128893513,2.767914078,1.420450859,2.474971892,2.640130734,1.341,1451.9,3744,3.04,0.413136966,16.03,3.2,7.1,0.446808511,2.7,9.85,2.93948692,3.191956736
Model Village or Dripsey,Cork,-8.743958202,51.92490453,2.406390713,2.893683324,1.420450859,2.598712778,2.766606603,2.3525,1943.9,323,3.04,0.446508544,16.03,3.2,7.1,0.85106383,2.7,9.85,3.590165685,0.741699221
Mogeely,Cork,-8.053892053,51.93129597,1.91668651,2.751362062,1.420450859,2.458688058,2.623431573,0.3295,1397.2,477,3.04,0.260799495,16.03,3.2,7.1,0.063829787,2.7,9.85,1.468137393,1.131563389
Myrtleville,Cork,-8.301068391,51.78214684,2.438850126,2.536896603,1.420450859,2.249288032,2.406865137,3.58075,847.5,965,3.04,0.072181924,16.03,3.2,7.1,0.510638298,2.7,9.85,3.190227091,1.836174999
Newmarket,Cork,-8.993982465,52.21222413,1.748718571,2.419044605,1.420450859,2.13623984,2.28807755,0.47978,643,1052,3.04,0.77812149,16.03,3.2,7.1,0.29787234,2.7,9.85,1.963283291,1.922495291
Newtown,Cork,-8.769356702,52.34728045,2.50653699,2.602608842,1.420450859,2.313568953,2.473696297,3.72236,988.2,433,3.04,0.67856814,16.03,3.2,7.1,0.042553191,2.7,9.85,2.19459536,1.034784626
Passage West-Monkstown,Cork,-8.34320632,51.86139079,2.377704564,2.620966976,1.420450859,2.330793571,2.491597416,3.024714,1030.8,6051,3.04,0.040760608,16.03,3.2,7.1,2.85106383,2.7,9.85,3.948865667,3.672025725
Rathard-Aherla,Cork,-8.729845157,51.85348596,2.532931305,2.89162302,1.420450859,2.596710364,2.764566681,2.9913056,1934.8,562,3.04,0.426778914,16.03,3.2,7.1,0.127659574,2.7,9.85,2.868550255,1.295548748
Rathcoole,Cork,-8.976039454,52.09596836,2.194024551,2.749358713,1.420450859,2.456926783,2.6216,1.7217864,1390.7,218,3.04,0.715048926,16.03,3.2,7.1,0.106382979,2.7,9.85,2.406084874,0.348541961
Rathcormac,Cork,-8.28009507,52.07630565,2.294940767,3.052253343,1.420450859,2.755357934,2.925756101,1.3208856,2806.2,1957,3.04,0.223189913,16.03,3.2,7.1,1.70212766,2.7,9.85,3.799975955,2.543214865
Ringaskiddy-Loughbeg,Cork,-8.318803234,51.82929707,2.457435192,2.693443175,1.420450859,2.401820609,2.564966319,3.206495,1221.1,575,3.04,0.029543683,16.03,3.2,7.1,0.170212766,2.7,9.85,2.823773927,1.318416939
Riverstick,Cork,-8.494603367,51.77093895,0.611669048,2.876272443,1.420450859,2.581491887,2.749060049,-6.56893,1867.1,772,3.04,0.208890922,16.03,3.2,7.1,0.361702128,2.7,9.85,2.9656,1.613031448
Rosscarbery,Cork,-9.027966154,51.57733875,2.321184297,2.464684647,1.420450859,2.180033505,2.334257476,3.206495,715.6,638,3.04,0.776007016,16.03,3.2,7.1,0.765957447,2.7,9.85,3.244905542,1.422385181
Saleen,Cork,-8.164288234,51.86983071,2.232840629,2.396187991,1.420450859,2.11373248,2.264316816,2.969515,609.4,601,3.04,0.139644982,16.03,3.2,7.1,0.127659574,2.7,9.85,2.363641366,1.362641832
Schull,Cork,-9.543206875,51.5283177,1.838419045,2.349784683,1.420450859,2.070627665,2.218312018,1.13292,546.3,669,3.04,1.282268312,16.03,3.2,7.1,0.212765957,2.7,9.85,2.119532586,1.469830958
Shanagarry,Cork,-8.028638234,51.85330534,1.81829269,2.595321324,1.420450859,2.30616186,2.466039407,0.30349,971.4,700,3.04,0.274430593,16.03,3.2,7.1,0.659574468,2.7,9.85,2.288806321,1.515127233
Shanbally,Cork,-8.353660095,51.82953871,2.797018969,2.587425639,1.420450859,2.298398681,2.457994664,5.220825,953.8,350,3.04,0.05632792,16.03,3.2,7.1,0.042553191,2.7,9.85,2.326128592,0.821980052
Shanballymore,Cork,-8.47719732,52.21925872,2.752014716,2.750068215,1.420450859,2.457482694,2.622186812,4.509885,1393,184,3.04,0.404370417,16.03,3.2,7.1,0.085106383,2.7,9.85,2.728078718,0.178982656
Skibbereen,Cork,-9.266191295,51.55081798,0.861517761,2.620031319,1.420450859,2.330490767,2.491215862,-4.5546,1028.6,2903,3.04,1.009807092,16.03,3.2,7.1,2.638297872,2.7,9.85,2.9876,2.937546862
Timoleague,Cork,-8.76888355,51.64513188,2.119439233,2.110945853,1.420450859,1.845768737,1.973249114,3.2467816,309.7,387,3.04,0.510623929,16.03,3.2,7.1,0.042553191,2.7,9.85,1.631326419,0.922471591
Tower,Cork,-8.60406282,51.92596165,2.057123559,2.22418105,1.420450859,1.950208162,2.088581724,2.602196,405.3,3300,3.04,0.30940864,16.03,3.2,7.1,2.468085106,2.7,9.85,3.41547674,3.065724645
Unionhall,Cork,-9.14242282,51.55655176,1.674907314,2.691532057,1.420450859,2.400403589,2.563455265,-0.7013052,1215.7,359,3.04,0.890602503,16.03,3.2,7.1,0.085106383,2.7,9.85,1.456,0.847369286
Watergrasshill,Cork,-8.344496535,52.01143346,2.15928334,2.683336497,1.420450859,2.391647314,2.554473412,1.746508616,1191.7,1840,3.04,0.16250227,16.03,3.2,7.1,4.659574468,2.7,9.85,3.986683929,2.481567749
Whitechurch,Cork,-8.51391071,51.98146778,2.083779256,3.024059024,1.420450859,2.72749967,2.897517399,0.349369328,2629.3,719,3.04,0.246224347,16.03,3.2,7.1,0.212765957,2.7,9.85,2.291027058,1.541908256
Whitegate,Cork,-8.22693307,51.82887312,1.310249628,2.518191922,1.420450859,2.231212303,2.387984095,-2.00659104,811.3,1248,3.04,0.080268051,16.03,3.2,7.1,0.14893617,2.7,9.85,2.724742877,2.093344447
Youghal,Cork,-7.858999985,51.95052879,2.163207468,2.551991464,1.420450859,2.263994035,2.422169046,2.157431936,877.5,8564,3.04,0.45437353,16.03,3.2,7.1,2.468085106,2.7,9.85,3.66954436,4.019369548
Ailt An Chorr?in,Donegal,-8.426397919,54.98236154,1.538212351,2.019085031,1.420450859,1.767210862,1.884315004,0.6,251.4,311,3.04,0.70802827,16.03,3.2,7.1,0.255319149,2.7,7.225,1.585599912,0.70383981
An Bun Beag,Donegal,-8.297019865,55.06712397,-0.111664728,2.139181251,1.420450859,1.875590195,2.006454055,-8,334.5,749,3.04,0.587996337,16.03,3.2,7.1,0.765957447,2.7,7.225,1.6325,1.582785881
An Charraig,Donegal,-8.638471701,54.65483156,3.013827245,2.147958802,1.420450859,1.884488426,2.016238139,7.6,341.7,308,3.04,0.969371062,16.03,3.2,7.1,0.021276596,2.7,7.225,1.742360713,0.694146681
An Cloch?n Liath,Donegal,-8.361128218,54.95004603,3.792582257,2.451180217,1.420450859,2.168814861,2.322465347,10.6,696.5,1247,3.04,0.64252584,16.03,3.2,7.1,1.063829787,2.7,7.225,3.895099132,2.092542844
An Fl Carrach,Donegal,-8.105185216,55.13716028,3.196812895,2.592977079,1.420450859,2.305399598,2.465236938,7.2,969.4,829,3.04,0.424777461,16.03,3.2,7.1,0.574468085,2.7,7.225,3.603101418,1.684267053
Anagaire,Donegal,-8.313611485,55.01964645,2.606209674,2.06716321,1.420450859,1.810194483,1.933239819,5.8,282,309,3.04,0.597808643,16.03,3.2,7.1,0.170212766,2.7,7.225,2.444669231,0.697388175
Ardara,Donegal,-8.40830546,54.7635444,1.7227145,2.299258555,1.420450859,2.024691643,2.169171444,0.7,488.1,785,3.04,0.717300801,16.03,3.2,7.1,0.404255319,2.7,7.225,2.140262591,1.629730616
Ballindrait,Donegal,-7.523640051,54.84252291,2.261060629,2.633744427,1.420450859,2.344909685,2.506198172,2.4,1065.9,100,3.04,0.228175373,16.03,3.2,7.1,0.042553191,2.7,7.225,2.036859842,-0.430782916
Ballintra,Donegal,-8.124180075,54.58113385,2.887365629,3.028764465,1.420450859,2.732764899,2.902847924,4.352,2661.4,242,3.04,0.555568127,16.03,3.2,7.1,0.063829787,2.7,7.225,2.868822436,0.452984624
Ballybofey-Stranorlar,Donegal,-7.782724194,54.79913829,2.985370816,2.919825652,1.420450859,2.625093393,2.793484174,5.168,2068.6,5406,3.04,0.173991512,16.03,3.2,7.1,0.893617021,2.7,7.225,3.980150458,3.559311625
Ballyliffin,Donegal,-7.39993234,55.27715158,2.184001453,2.377897573,1.420450859,2.098815692,2.248443142,2.7744,587,479,3.04,0.449012066,16.03,3.2,7.1,0.170212766,2.7,7.225,2.442799306,1.135747495
Ballyshannon,Donegal,-8.195146202,54.50322144,2.133268071,2.510549188,1.420450859,2.225911714,2.382388594,2.12704,800.1,2246,3.04,0.660676952,16.03,3.2,7.1,0.595744681,2.7,7.225,3.005980101,2.772588722
Bridge End,Donegal,-7.380604971,55.03940731,1.453286663,2.689123569,1.420450859,2.398910222,2.561948662,-1.804,1212.2,373,3.04,0.347080338,16.03,3.2,7.1,0.021276596,2.7,7.225,3.0256,0.885625318
Bun Na Leaca,Donegal,-8.286939119,55.12049983,2.465500681,2.127497437,1.420450859,1.86493845,1.994616659,4.92,325.4,569,3.04,0.590226973,16.03,3.2,7.1,0.574468085,2.7,7.225,2.963648558,1.307927332
Buncrana,Donegal,-7.452311024,55.13455113,1.773255515,2.455274128,1.420450859,2.17234132,2.32621127,0.492,703,6971,3.04,0.31797479,16.03,3.2,7.1,1.914893617,2.7,7.225,2.821065079,3.688879454
Bundoran,Donegal,-8.283080019,54.47850382,-0.254318204,2.354536574,1.420450859,2.076632216,2.224789333,-9.348,555.3,2599,3.04,0.742466316,16.03,3.2,7.1,2.14893617,2.7,7.225,1.8966,2.944438979
Burnfoot,Donegal,-7.403381927,55.0565257,3.048229188,2.668564272,1.420450859,2.378858929,2.541271878,6.232,1155.7,413,3.04,0.329488172,16.03,3.2,7.1,0.021276596,2.7,7.225,2.1853747,0.987494491
Carndonagh,Donegal,-7.264882707,55.24828195,2.365256945,2.319420891,1.420450859,2.043268503,2.189144473,3.854,511.5,2768,3.04,0.537142533,16.03,3.2,7.1,1.574468085,2.7,7.225,3.49189121,2.889927215
Carraig Airt,Donegal,-7.7939496,55.17569061,2.082384705,2.478617345,1.420450859,2.194911747,2.349943575,1.968,742.8,294,3.04,0.227573905,16.03,3.2,7.1,0.063829787,2.7,7.225,1.969920386,0.647626665
Carrigans,Donegal,-7.428335333,54.95081298,2.572546804,2.726759046,1.420450859,2.435624872,2.599739244,3.68016,1322.8,389,3.04,0.290534904,16.03,3.2,7.1,0.106382979,2.7,7.225,2.714233033,0.927626242
Carrowkeel,Donegal,-7.664141791,55.13803294,2.292380144,2.368180678,1.420450859,2.089306564,2.23836262,3.3456,573.8,389,3.04,0.185324256,16.03,3.2,7.1,0.14893617,2.7,7.225,2.456234741,0.927626242
Castlefinn,Donegal,-7.592300265,54.80350732,3.046175383,2.828995468,1.420450859,2.535769384,2.702381202,5.74328,1676.5,730,3.04,0.201876544,16.03,3.2,7.1,0.127659574,2.7,7.225,3.08961694,1.557091432
Cill Charthaigh,Donegal,-8.592421686,54.63123947,2.079243662,2.046941301,1.420450859,1.792637886,1.913260265,3.222928,268.7,403,3.04,0.933856758,16.03,3.2,7.1,0.276595745,2.7,7.225,2.379363764,0.96298346
Cloghfin,Donegal,-7.561642924,54.84430384,2.547229388,2.570490687,1.420450859,2.283513085,2.442511509,4.0191808,920.1,121,3.04,0.195612952,16.03,3.2,7.1,0.063829787,2.7,7.225,2.372995971,-0.240162556
Clonmany,Donegal,-7.408744107,55.25933039,2.184478679,2.239757073,1.420450859,1.968595365,2.108578896,3.1850112,424.4,569,3.04,0.430253544,16.03,3.2,7.1,0.14893617,2.7,7.225,2.303886521,1.307927332
Convoy,Donegal,-7.665204549,54.86004079,2.645950628,2.59671794,1.420450859,2.308797515,2.468786828,4.435,977.8,1702,3.04,0.114182838,16.03,3.2,7.1,0.893617021,2.7,7.225,3.58829509,2.403606207
Creeslough,Donegal,-7.909790923,55.12144053,2.694062929,2.305271607,1.420450859,2.029829495,2.174762684,5.54,495.1,398,3.04,0.249569259,16.03,3.2,7.1,0.14893617,2.7,7.225,2.611202873,0.950498903
Culdaff,Donegal,-7.165920709,55.28561526,2.027036443,2.326903268,1.420450859,2.050717333,2.197110758,2.14,520.9,385,3.04,0.641081853,16.03,3.2,7.1,0.085106383,2.7,7.225,1.977130264,0.917290232
Doir Beaga,Donegal,-8.287287506,55.08497779,2.643795173,2.162026846,1.420450859,1.896689272,2.029808885,5.71,353.2,794,3.04,0.581969529,16.03,3.2,7.1,0.340425532,2.7,7.225,2.836678928,1.641130359
Donegal,Donegal,-8.105044296,54.65350726,2.79636496,2.592406086,1.420450859,2.304583406,2.464384451,5.2,967.4,2749,3.04,0.493729342,16.03,3.2,7.1,3.744680851,2.7,7.225,4.275024237,2.883039386
Drumkeen,Donegal,-7.7506137,54.8658069,2.718533341,2.346749731,1.420450859,2.068872387,2.21659373,5.54,545.7,333,3.04,0.10032592,16.03,3.2,7.1,0.14893617,2.7,7.225,2.653463901,0.772189388
Dunfanaghy,Donegal,-7.96559706,55.18040901,2.167766663,1.962797031,1.420450859,1.71578704,1.824998385,3.9148,219.3,439,3.04,0.330358105,16.03,3.2,7.1,1.787234043,2.7,7.225,3.185929639,1.048546311
Dunkineely,Donegal,-8.355284393,54.63177787,2.479900358,2.5310152,1.420450859,2.245734678,2.403101052,3.7992,839.3,352,3.04,0.716645786,16.03,3.2,7.1,0.085106383,2.7,7.225,2.433571513,0.827678074
Fahan,Donegal,-7.464003395,55.08588564,2.049494123,2.390402016,1.420450859,2.11052274,2.260895,2.0652,604.4,589,3.04,0.283696997,16.03,3.2,7.1,0.319148936,2.7,7.225,2.600279973,1.342473082
Gleann Cholm Cille,Donegal,-8.722783505,54.7085415,1.9803764,2.165984341,1.420450859,1.901161768,2.034653032,2.379632,356.6,167,3.04,1.035321063,16.03,3.2,7.1,0,2.7,7.225,2.2569,0.08204071
Gleneely,Donegal,-7.150621993,55.24168963,2.200198154,2.458718401,1.420450859,2.176163928,2.330201583,2.615456,709.1,243,3.04,0.633670259,16.03,3.2,7.1,0.042553191,2.7,7.225,1.897187041,0.457108341
Glenties,Donegal,-8.286257418,54.79753551,1.646138909,2.279695407,1.420450859,2.006175775,2.149244506,0.375128,466.2,927,3.04,0.590611704,16.03,3.2,7.1,0.255319149,2.7,7.225,1.649835139,1.796000463
Gort An Choirce,Donegal,-8.130491266,55.12794496,1.870356139,2.723635314,1.420450859,2.432533679,2.596552842,0.178608,1312.9,2870,3.04,0.444380572,16.03,3.2,7.1,1.659574468,2.7,7.225,2.5901293,2.926114207
Greencastle,Donegal,-6.998966322,55.20368271,2.324590195,2.175829772,1.420450859,1.909678332,2.044092014,4.0729,364.9,1268,3.04,0.759567225,16.03,3.2,7.1,0.446808511,2.7,7.225,2.822199047,2.109243033
Kildrum,Donegal,-7.411165528,54.97969525,3.422025926,2.873948618,1.420450859,2.579997754,2.7475324,7.4882,1860.4,518,3.04,0.308101484,16.03,3.2,7.1,0.127659574,2.7,7.225,3.250037159,1.21402214
Killybegs,Donegal,-8.444847561,54.63662756,2.364867137,2.561518431,1.420450859,2.275204398,2.433817996,3.133344,901,1258,3.04,0.795275942,16.03,3.2,7.1,0.446808511,2.7,7.225,3.100854305,2.101325335
Killygordon,Donegal,-7.686676418,54.79186194,2.433868339,2.74121392,1.420450859,2.449704542,2.614212373,2.94376,1367.9,716,3.04,0.172063023,16.03,3.2,7.1,0.106382979,2.7,7.225,2.631828896,1.537727065
Kilmacrennan,Donegal,-7.776746079,55.0282468,0.807775977,2.78026592,1.420450859,2.487903968,2.653403136,-5.303144,1497.5,888,3.04,0.088898449,16.03,3.2,7.1,0.212765957,2.7,7.225,2.6256,1.753018641
Laghy,Donegal,-8.088571801,54.6187118,2.316315889,2.383365585,1.420450859,2.104098292,2.254048872,3.41961584,594.6,176,3.04,0.503900338,16.03,3.2,7.1,0,2.7,7.225,1.95687,0.134530893
Letterkenny,Donegal,-7.718694395,54.96091972,2.039933082,2.537921035,1.420450859,2.250554174,2.408192462,1.58254688,850.2,22549,3.04,0,16.03,3.2,7.1,12.12765957,2.7,7.225,4.212654682,5.746203191
Lifford,Donegal,-7.488174005,54.83372678,2.189661425,2.777368145,1.420450859,2.485144801,2.65056716,1.61477616,1487.5,1613,3.04,0.263282535,16.03,3.2,7.1,0.106382979,2.7,7.225,2.40744145,2.349897976
Loch An Iir,Donegal,-8.287682573,54.99828862,2.39503696,1.995472432,1.420450859,1.745902475,1.859859034,4.9535,237.6,412,3.04,0.570213979,16.03,3.2,7.1,0.14893617,2.7,7.225,2.243758786,0.985070247
Malin,Donegal,-7.262482508,55.29775786,3.061103328,2.51272885,1.420450859,2.228002655,2.384584275,6.75975,804.3,154,3.04,0.567088371,16.03,3.2,7.1,0.042553191,2.7,7.225,2.364280841,0.0009995
Manorcunningham,Donegal,-7.623235209,54.9529002,2.57584569,2.668771944,1.420450859,2.378913186,2.541342462,3.86975,1156.2,1667,3.04,0.095795453,16.03,3.2,7.1,0.276595745,2.7,7.225,3.092561368,2.382827781
Milford,Donegal,-7.696345023,55.08897609,1.893062444,2.58991056,1.420450859,2.302231323,2.461969478,0.69075,962.5,1722,3.04,0.129992037,16.03,3.2,7.1,0.617021277,2.7,7.225,2.613021772,2.415288583
Mountcharles,Donegal,-8.202647972,54.64618471,0.052571875,2.434758985,1.420450859,2.15316885,2.305980679,-8.0515,670.5,652,3.04,0.577294719,16.03,3.2,7.1,0.106382979,2.7,7.225,2.8,1.44409146
Moville,Donegal,-7.043165087,55.19178966,2.791588471,2.521134368,1.420450859,2.236207555,2.393149573,5.387,820.2,1390,3.04,0.713891291,16.03,3.2,7.1,0.085106383,2.7,7.225,2.575228874,2.201105924
Muff,Donegal,-7.270942132,55.070938,2.714778554,2.732020676,1.420450859,2.440835625,2.605085611,4.3755,1339,1418,3.04,0.461070615,16.03,3.2,7.1,0.29787234,2.7,7.225,3.241838443,2.221049605
Na Dnaibh,Donegal,-7.839552763,55.19917602,1.736176697,2.080204674,1.420450859,1.821219622,1.945758327,1.41325,290.8,601,3.04,0.267156905,16.03,3.2,7.1,0.595744681,2.7,7.225,2.38887357,1.362641832
Newtowncunningham,Donegal,-7.513262044,54.99717126,2.935205327,2.809928404,1.420450859,2.517034271,2.683223101,5.24539,1604,1192,3.04,0.208606387,16.03,3.2,7.1,0.425531915,2.7,7.225,3.553914286,2.047434746
Pettigo,Donegal,-7.833417775,54.55068639,2.262467015,2.639411596,1.420450859,2.350524777,2.511993443,2.3899544,1080,158,3.04,0.425972808,16.03,3.2,7.1,0.170212766,2.7,7.225,2.642805499,0.026641931
Quigleys Point,Donegal,-7.198191729,55.12517401,2.244025418,2.32689935,1.420450859,2.050606866,2.197005616,3.2251644,520.9,213,3.04,0.545804451,16.03,3.2,7.1,0.063829787,2.7,7.225,2.030329612,0.325339064
Ramelton,Donegal,-7.646541201,55.03651887,2.16945503,2.651650076,1.420450859,2.36223048,2.524115333,1.8888284,1111.1,1288,3.04,0.104505094,16.03,3.2,7.1,0.382978723,2.7,7.225,2.905120299,2.124892805
